-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.826ms         3.03%       1.826ms      49.351us           0 b           0 b           0 b           0 b            37  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         0.06%      36.000us      18.000us           0 b           0 b           0 b           0 b             2  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     337.000us         0.56%     337.000us      25.923us           0 b           0 b           0 b           0 b            13  
                                          aten::dropout         0.00%      30.000us         0.00%      30.000us       0.811us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            37  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us     699.000us         1.16%     699.000us      27.960us           0 b           0 b           0 b           0 b            25  
                                               cudaFree         2.77%      71.989ms         2.77%      71.989ms      35.995ms      52.000us         0.09%      52.000us      26.000us           0 b           0 b           0 b           0 b             2  
                                 cudaDeviceGetAttribute         0.00%       4.000us         0.00%       4.000us       0.267us       1.214ms         2.01%       1.214ms      80.933us           0 b           0 b           0 b           0 b            15  
                                   cudaGetSymbolAddress         0.01%     301.000us         0.01%     301.000us     301.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             cudaMalloc         0.57%      14.716ms         0.57%      14.716ms     420.457us       2.000us         0.00%       2.000us       0.057us           0 b           0 b           0 b           0 b            35  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.19%       4.822ms         0.19%       4.822ms      73.061us     306.000us         0.51%     306.000us       4.636us           0 b           0 b           0 b           0 b            66  
                                        cudaMemsetAsync         0.02%     439.000us         0.02%     439.000us      12.194us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.01%       4.000us       0.111us           0 b           0 b           0 b           0 b            36  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      33.069ms        54.87%      33.069ms     551.150us           0 b           0 b           0 b           0 b            60  
                                            aten::split         0.01%     266.000us         0.02%     613.000us      51.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12  
                                           aten::narrow         0.01%     144.000us         0.01%     334.000us       9.278us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                          aten::permute         0.01%     374.000us         0.02%     411.000us       8.562us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48  
                                        aten::transpose         0.00%     117.000us         0.00%     125.000us       9.615us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13  
                                           aten::expand         0.02%     425.000us         0.02%     485.000us      10.104us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.080ms         3.45%       2.080ms      42.449us           0 b           0 b           0 b           0 b            49  
                                     aten::_unsafe_view         0.01%     274.000us         0.01%     274.000us       4.492us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            61  
                                            aten::fill_         0.02%     429.000us         0.47%      12.153ms     506.375us      56.000us         0.09%     151.000us       6.292us           0 b           0 b           0 b           0 b            24  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.000us         0.09%      56.000us       2.333us           0 b           0 b           0 b           0 b            24  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     313.000us         0.52%     313.000us      26.083us           0 b           0 b           0 b           0 b            12  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     366.000us         0.61%     366.000us      30.500us           0 b           0 b           0 b           0 b            12  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us     399.000us         0.66%     399.000us      33.250us           0 b           0 b           0 b           0 b            12  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     766.000us         1.27%     766.000us      63.833us           0 b           0 b           0 b           0 b            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.261ms         2.09%       1.261ms      35.028us           0 b           0 b           0 b           0 b            36  
                                  cudaStreamIsCapturing         0.00%      74.000us         0.00%      74.000us       2.312us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32  
                                      aten::result_type         0.00%       5.000us         0.00%       5.000us       0.417us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     617.000us         1.02%     617.000us      51.417us           0 b           0 b           0 b           0 b            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     611.000us         1.01%     611.000us      50.917us           0 b           0 b           0 b           0 b            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     620.000us         1.03%     620.000us      51.667us           0 b           0 b           0 b           0 b            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     925.000us         1.53%     925.000us      77.083us           0 b           0 b           0 b           0 b            12  
                                                aten::t         0.00%      12.000us         0.00%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      14.477ms        24.02%      14.477ms      14.477ms           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.01%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       1.762ms         2.92%       1.762ms       1.762ms           0 b           0 b           0 b           0 b             1  
void at::native::(anonymous namespace)::nll_loss_for...         0.00%       0.000us         0.00%       0.000us       0.000us      26.000us         0.04%      26.000us      26.000us           0 b           0 b           0 b           0 b             1  
                                  cudaDeviceSynchronize         0.00%      20.000us         0.00%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.602s
Self CUDA time total: 60.268ms
