-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::embedding         0.01%     190.000us        55.69%     810.965ms     405.483ms       0.000us         0.00%      22.000us      11.000us           0 b           0 b     900.00 Kb           0 b             2  
                                     aten::index_select         0.01%     199.000us        55.67%     810.747ms     405.373ms      22.000us         0.02%      22.000us      11.000us           0 b           0 b     900.00 Kb           0 b             2  
                                              aten::sum         0.14%       1.970ms         1.21%      17.623ms     359.653us       1.008ms         0.76%       1.039ms      21.204us           0 b           0 b     624.00 Kb     624.00 Kb            49  
    autograd::engine::evaluate_function: SliceBackward0         0.00%      31.000us         0.04%     629.000us     314.500us       0.000us         0.00%       1.069ms     534.500us           0 b           0 b     353.00 Kb     -76.00 Mb             2  
      autograd::engine::evaluate_function: AddBackward0         0.04%     592.000us         0.05%     709.000us      11.623us       0.000us         0.00%      14.000us       0.230us           0 b           0 b     300.00 Kb           0 b            61  
                                             aten::full         0.01%     201.000us         0.32%       4.694ms     195.583us       0.000us         0.00%     147.000us       6.125us           0 b           0 b      12.00 Kb           0 b            24  
                                               aten::to         0.16%       2.263ms         1.30%      18.978ms     287.545us       0.000us         0.00%       8.000us       0.121us           0 b           0 b       7.00 Kb           0 b            66  
                                         aten::_to_copy         0.00%      56.000us         1.15%      16.715ms       4.179ms       0.000us         0.00%       8.000us       2.000us           0 b           0 b       7.00 Kb           0 b             4  
                                    aten::scalar_tensor         0.01%     155.000us         0.05%     722.000us      55.538us       0.000us         0.00%      24.000us       1.846us           8 b           8 b       6.00 Kb           0 b            13  
                                           aten::arange         0.01%      97.000us         0.39%       5.717ms       2.858ms       2.000us         0.00%      10.000us       5.000us           0 b           0 b       2.00 Kb           0 b             2  
                                             aten::rsub         0.00%      49.000us         2.76%      40.249ms      40.249ms       0.000us         0.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
                                              aten::sub         0.01%     121.000us         2.76%      40.200ms      40.200ms       3.000us         0.00%       3.000us       3.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                      aten::nll_loss_nd         0.00%      26.000us         0.49%       7.081ms       7.081ms       0.000us         0.00%      89.000us      89.000us           0 b           0 b       1.00 Kb           0 b             1  
                                         aten::nll_loss         0.00%      29.000us         0.48%       7.055ms       7.055ms       0.000us         0.00%      89.000us      89.000us           0 b           0 b       1.00 Kb           0 b             1  
                                 aten::nll_loss_forward         0.01%      91.000us         0.48%       7.026ms       7.026ms      13.000us         0.01%      89.000us      89.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                        aten::ones_like         0.00%       7.000us         0.01%      75.000us      75.000us       0.000us         0.00%       4.000us       4.000us           0 b           0 b         512 b           0 b             1  
                                          aten::random_         0.00%      31.000us         0.00%      31.000us      15.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                             aten::item         0.00%      15.000us         0.01%     100.000us      33.333us       0.000us         0.00%     154.000us      51.333us           0 b           0 b           0 b           0 b             3  
                              aten::_local_scalar_dense         0.00%      33.000us         0.01%      85.000us      28.333us       2.000us         0.00%     154.000us      51.333us           0 b           0 b           0 b           0 b             3  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.05%     722.000us         0.06%     927.000us     463.500us       0.000us         0.00%       0.000us       0.000us       6.25 Kb     -14.07 Kb           0 b           0 b             2  
                                         aten::randperm         0.01%      88.000us         0.01%     174.000us      87.000us       0.000us         0.00%       0.000us       0.000us      14.06 Kb          -8 b           0 b           0 b             2  
                                     aten::resolve_conj         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                            aten::stack         0.00%      54.000us         0.01%      97.000us      24.250us       0.000us         0.00%       0.000us       0.000us       6.25 Kb           0 b           0 b           0 b             4  
                                             aten::view         0.17%       2.472ms         0.17%       2.472ms       5.593us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           442  
                                            aten::copy_         0.15%       2.231ms         1.43%      20.861ms     226.750us       1.986ms         1.50%       2.469ms      26.837us           0 b           0 b           0 b           0 b            92  
                                        cudaMemcpyAsync         0.01%     140.000us         0.01%     140.000us      28.000us     152.000us         0.11%     152.000us      30.400us           0 b           0 b           0 b           0 b             5  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.00%      29.000us         0.00%      29.000us       7.250us       2.000us         0.00%       2.000us       0.500us           0 b           0 b           0 b           0 b             4  
                                       cudaLaunchKernel        78.03%        1.136s        78.03%        1.136s     499.307us       4.303ms         3.25%       4.303ms       1.891us           0 b           0 b           0 b           0 b          2276  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                        aten::unsqueeze         0.00%      34.000us         0.00%      46.000us      15.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::as_strided         0.05%     775.000us         0.05%     775.000us       1.886us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           411  
                                            aten::slice         0.04%     566.000us         0.05%     666.000us       7.319us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            91  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
